Series Name,Location,Parameter,Timestamp,Value,Offset
"Surface Salinity","FS-Surface","Salinity-sensor",2024-04-13 21:00,6.0488,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-04-13 21:00,11.7949,0
"Surface DO","FS-Surface","DO-sensor",2024-04-13 21:00,10.5439,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-04-13 21:00,1.2888,0
"Surface pH","FS-Surface","pH-sensor",2024-04-13 21:00,7.9767,0
"Depth","FS-Bottom","Depth-sensor",2024-04-13 20:00,2.9541,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-04-13 20:00,7.1033,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-04-13 20:00,12.0413,0
"Surface DO","FS-Surface","DO-sensor",2024-04-13 20:00,10.508,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-04-13 20:00,6.7521,0
"Surface pH","FS-Surface","pH-sensor",2024-04-13 20:00,8.0319,0
"Depth","FS-Bottom","Depth-sensor",2024-04-13 19:00,3.0383,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-04-13 19:00,8.3443,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-04-13 19:00,12.2487,0
"Surface DO","FS-Surface","DO-sensor",2024-04-13 19:00,10.4583,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-04-13 19:00,1.4625,0
"Surface pH","FS-Surface","pH-sensor",2024-04-13 19:00,8.0477,0
"Depth","FS-Bottom","Depth-sensor",2024-04-13 18:00,3.1947,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-04-13 18:00,9.963,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-04-13 18:00,12.3995,0
"Surface DO","FS-Surface","DO-sensor",2024-04-13 18:00,10.3655,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-04-13 18:00,1.6198,0
"Surface pH","FS-Surface","pH-sensor",2024-04-13 18:00,8.127,0
"Depth","FS-Bottom","Depth-sensor",2024-04-13 17:00,3.2047,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-04-13 17:00,10.7708,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-04-13 17:00,12.5842,0
"Surface DO","FS-Surface","DO-sensor",2024-04-13 17:00,10.2543,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-04-13 17:00,1.619,0
"Surface pH","FS-Surface","pH-sensor",2024-04-13 17:00,8.1155,0
"Depth","FS-Bottom","Depth-sensor",2024-04-13 16:00,3.1198,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-04-13 16:00,13.9147,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-04-13 16:00,12.455,0
"Surface DO","FS-Surface","DO-sensor",2024-04-13 16:00,10.1738,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-04-13 16:00,1.7648,0
"Surface pH","FS-Surface","pH-sensor",2024-04-13 16:00,8.1738,0
"Depth","FS-Bottom","Depth-sensor",2024-04-13 15:00,2.9949,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-04-13 15:00,13.2202,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-04-13 15:00,12.2323,0
"Surface DO","FS-Surface","DO-sensor",2024-04-13 15:00,10.0454,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-04-13 15:00,1.5349,0
"Surface pH","FS-Surface","pH-sensor",2024-04-13 15:00,8.1426,0
"Depth","FS-Bottom","Depth-sensor",2024-04-13 14:00,2.597,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-04-13 14:00,13.4956,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-04-13 14:00,11.9022,0
"Surface DO","FS-Surface","DO-sensor",2024-04-13 14:00,9.9084,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-04-13 14:00,1.6431,0
"Surface pH","FS-Surface","pH-sensor",2024-04-13 14:00,8.1089,0
"Depth","FS-Bottom","Depth-sensor",2024-04-13 13:00,2.2897,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-04-13 13:00,10.0624,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-04-13 13:00,11.7822,0
"Surface DO","FS-Surface","DO-sensor",2024-04-13 13:00,10.0489,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-04-13 13:00,1.5999,0
"Surface pH","FS-Surface","pH-sensor",2024-04-13 13:00,8.0241,0
"Depth","FS-Bottom","Depth-sensor",2024-04-13 12:00,1.9373,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-04-13 12:00,9.4173,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-04-13 12:00,11.4776,0
"Surface DO","FS-Surface","DO-sensor",2024-04-13 12:00,10.0161,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-04-13 12:00,1.9398,0
"Surface pH","FS-Surface","pH-sensor",2024-04-13 12:00,7.972,0
"Depth","FS-Bottom","Depth-sensor",2024-04-13 11:00,1.7767,-6.46
"Surface Temp","FS-Surface","Temperature-sensor",2024-04-13 11:00,11.2401,0
"Surface DO","FS-Surface","DO-sensor",2024-04-13 11:00,9.8859,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-04-13 11:00,1.8976,0
"Surface pH","FS-Surface","pH-sensor",2024-04-13 11:00,7.9542,0
"Depth","FS-Bottom","Depth-sensor",2024-04-13 10:00,1.6321,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-04-13 10:00,10.5725,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-04-13 10:00,11.2646,0
"Surface DO","FS-Surface","DO-sensor",2024-04-13 10:00,9.822,0
"Surface Chl-a","FS-Surface","Chl-a Fluorescence-sensor",2024-04-13 10:00,1.5762,0
"Surface pH","FS-Surface","pH-sensor",2024-04-13 10:00,7.9601,0
"Depth","FS-Bottom","Depth-sensor",2024-04-13 09:00,1.7424,-6.46
"Surface Salinity","FS-Surface","Salinity-sensor",2024-04-13 09:00,12.0162,0
"Surface Temp","FS-Surface","Temperature-sensor",2024-04-13 09:00,11.2728,0
