"Date Time","Salinity (psu)","DO (mg/L)","Temperature (C)","Total Dissolved Solids (mg/L)"
"2024-04-03 09:00:00.000","31.418411254882812","8.928921699523926","11.538473129272461","31572.933197021484"
"2024-04-03 10:00:00.000","31.9844970703125","9.102787017822266","11.557953834533691","32082.500457763672"
"2024-04-03 11:00:00.000","32.26313400268555","9.059765815734863","11.529633522033691","32336.471557617188"
"2024-04-03 12:00:00.000","32.5306510925293","8.934767723083496","11.482331275939941","32581.668853759766"
"2024-04-03 13:00:00.000","32.968482971191406","8.828290939331055","11.456609725952148","32978.41262817383"
"2024-04-03 14:00:00.000","32.6794319152832","8.813076972961426","11.473140716552734","32716.86553955078"
"2024-04-03 15:00:00.000","32.61631393432617","8.745863914489746","11.482935905456543","32659.095764160156"
"2024-04-03 16:00:00.000","32.34425354003906","8.748893737792969","11.499353408813477","32412.342071533203"
"2024-04-03 17:00:00.000","27.181079864501953","8.941758155822754","11.548867225646973","27702.31056213379"
"2024-04-03 18:00:00.000","5.794784069061279","10.206035614013672","11.64843463897705","6678.347110748291"
"2024-04-03 19:00:00.000","6.001922607421875","10.287897109985352","11.918359756469727","6896.355628967285"
"2024-04-03 20:00:00.000","5.943271160125732","10.376937866210938","12.105147361755371","6830.76286315918"
"2024-04-03 21:00:00.000","4.829025745391846","10.535785675048828","12.181504249572754","5627.411842346191"
"2024-04-03 22:00:00.000","4.011921405792236","10.642013549804688","12.16324234008789","4731.961727142334"
"2024-04-03 23:00:00.000","7.637514591217041","10.485066413879395","12.002206802368164","8626.527786254883"
"2024-04-04 00:00:00.000","26.98081398010254","9.542412757873535","11.601666450500488","27513.347625732422"
"2024-04-04 01:00:00.000","29.674089431762695","9.374959945678711","11.474915504455566","29994.306564331055"
"2024-04-04 02:00:00.000","30.10017204284668","9.27049446105957","11.422992706298828","30387.510299682617"
"2024-04-04 03:00:00.000","30.654949188232422","9.183435440063477","11.315635681152344","30901.878356933594"
"2024-04-04 04:00:00.000","31.372655868530273","9.040876388549805","11.24232292175293","31559.478759765625"
"2024-04-04 05:00:00.000","30.941837310791016","9.009659767150879","11.264963150024414","31166.11671447754"
"2024-04-04 06:00:00.000","30.872512817382812","8.979994773864746","11.323267936706543","31098.68812561035"
"2024-04-04 07:00:00.000","30.96198081970215","8.942933082580566","11.356891632080078","31176.685333251953"
"2024-04-04 08:00:00.000","29.77556037902832","8.885087013244629","11.40666389465332","30093.027114868164"
"2024-04-04 09:00:00.000","30.653059005737305","8.744404792785645","11.42837142944336","30889.663696289062"
